Id,Title,Category,Interaction,Description,Mitigated requirement,Explanation
28,Elevation Using Impersonation,Elevation Of Privilege,Switch to vCenter,Vcenter may be able to impersonate the context of Switch in order to gain additional privilege.,"[AVP_PCyA_2099], [AVP_PCyA_2439], [AVP_PCyA_2134], [AVP_PCyA_2116]","These requirements ensure that both ends of the communication (vCenter and Switch) authenticate each other and enforce strict access control, preventing impersonation."
27,Weak Authentication Scheme,Information Disclosure,Switch to vCenter,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.","[AVP_PCyA_2103], [AVP_PCyA_2576], [AVP_PCyA_2531], [AVP_PCyA_2116]","These requirements enforce strong authentication mechanisms, password policies, and integration with centralized identity systems to mitigate weak authentication schemes."
26,Authenticated Data Flow Compromised,Tampering,Switch to vCenter,An attacker can read or modify data transmitted over an authenticated dataflow.,"[AVP_PCyA_2362], [AVP_PCyA_2364], [AVP_PCyA_2116], [AVP_PCyA_2439]","These requirements ensure encrypted and authenticated communication channels, reducing the risk of tampering with authenticated data flows."
25,Collision Attacks,Tampering,Switch to vCenter,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.","[AVP_PCyA_2364], [AVP_PCyA_2366], [AVP_PCyA_2367], [AVP_PCyA_2116]",These requirements enforce cryptographic standards that prevent data overlap and ensure message integrity.
24,Replay Attacks,Tampering,Switch to vCenter,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,"[AVP_PCyA_2116], [AVP_PCyA_2362], [AVP_PCyA_2364], [AVP_PCyA_2544]",These requirements ensure that communications are protected against replay by using secure protocols and session validation.
23,Elevation Using Impersonation,Elevation Of Privilege,vCenter to Switch,Switch may be able to impersonate the context of Vcenter in order to gain additional privilege.,"[AVP_PCyA_2099], [AVP_PCyA_2439], [AVP_PCyA_2134], [AVP_PCyA_2116]","Same as Threat 28, but reversed direction. These requirements prevent Switch from impersonating vCenter."
22,Weak Authentication Scheme,Information Disclosure,vCenter to Switch,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.","[AVP_PCyA_2103], [AVP_PCyA_2576], [AVP_PCyA_2531], [AVP_PCyA_2116]","Same as Threat 27, applied to the reverse direction."
21,Collision Attacks,Tampering,vCenter to Switch,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.","[AVP_PCyA_2364], [AVP_PCyA_2366], [AVP_PCyA_2367], [AVP_PCyA_2116]","Same as Threat 25, applied to the reverse direction."
20,Replay Attacks,Tampering,vCenter to Switch,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,"[AVP_PCyA_2116], [AVP_PCyA_2362], [AVP_PCyA_2364], [AVP_PCyA_2544]","Same as Threat 24, applied to the reverse direction."
19,Vcenter Process Memory Tampered,Tampering,vCenter to Switch,"If Vcenter is given access to memory, such as shared memory or pointers, or is given the ability to control what Switch executes (for example, passing back a function pointer.), then Vcenter can tamper with Switch. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.","[AVP_PCyA_2347], [AVP_PCyA_2134], [AVP_PCyA_2535], [AVP_PCyA_2568]","These requirements ensure that memory access is restricted, secrets are protected, and only trusted code is executed."
