Id,Title,Category,Interaction,Description
28,Elevation Using Impersonation,Elevation Of Privilege,Switch to vCenter,Vcenter may be able to impersonate the context of Switch in order to gain additional privilege.
27,Weak Authentication Scheme,Information Disclosure,Switch to vCenter,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme."
26,Authenticated Data Flow Compromised,Tampering,Switch to vCenter,An attacker can read or modify data transmitted over an authenticated dataflow.
25,Collision Attacks,Tampering,Switch to vCenter,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases."
24,Replay Attacks,Tampering,Switch to vCenter,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.
23,Elevation Using Impersonation,Elevation Of Privilege,vCenter to Switch,Switch may be able to impersonate the context of Vcenter in order to gain additional privilege.
22,Weak Authentication Scheme,Information Disclosure,vCenter to Switch,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme."
21,Collision Attacks,Tampering,vCenter to Switch,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases."
20,Replay Attacks,Tampering,vCenter to Switch,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.
19,Vcenter Process Memory Tampered,Tampering,vCenter to Switch,"If Vcenter is given access to memory, such as shared memory or pointers, or is given the ability to control what Switch executes (for example, passing back a function pointer.), then Vcenter can tamper with Switch. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it."
31,Collision Attacks,Tampering,Switch to Firewall,Attackers who can send a series of packets or messages may be able to overlap data...
30,Replay Attacks,Tampering,Switch to Firewall,Packets or messages without sequence numbers or timestamps can be captured and replayed...
29,Switch Process Memory Tampered,Tampering,Switch to Firewall,If Switch is given access to memory... then Switch can tamper with Firewall.
32,Weak Authentication Scheme,Information Disclosure,Switch to Firewall,Custom authentication schemes are susceptible to common weaknesses...
33,Elevation Using Impersonation,Elevation Of Privilege,Switch to Firewall,Firewall may be able to impersonate the context of Switch...
34,Firewall Process Memory Tampered,Tampering,Firewall to Switch,If Firewall is given access to memory... then Firewall can tamper with Switch.
35,Replay Attacks,Tampering,Firewall to Switch,Packets or messages without sequence numbers or timestamps can be captured and replayed...
36,Collision Attacks,Tampering,Firewall to Switch,Attackers who can send a series of packets or messages may be able to overlap data...
37,Weak Authentication Scheme,Information Disclosure,Firewall to Switch,Custom authentication schemes are susceptible to common weaknesses...
38,Elevation Using Impersonation,Elevation Of Privilege,Firewall to Switch,Switch may be able to impersonate the context of Firewall...
39,Replay Attacks,Tampering,vCenter to Workstation,Packets or messages without sequence numbers or timestamps can be captured and replayed...
40,Collision Attacks,Tampering,vCenter to Workstation,Attackers who can send a series of packets or messages may be able to overlap data...
41,Weak Authentication Scheme,Information Disclosure,vCenter to Workstation,Custom authentication schemes are susceptible to common weaknesses...
42,Elevation Using Impersonation,Elevation Of Privilege,vCenter to Workstation,Workstation may be able to impersonate the context of Vcenter...
43,Vcenter Process Memory Tampered,Tampering,vCenter to Server,If Vcenter is given access to memory... then Vcenter can tamper with Server.
44,Replay Attacks,Tampering,vCenter to Server,Packets or messages without sequence numbers or timestamps can be captured and replayed...
45,Collision Attacks,Tampering,vCenter to Server,Attackers who can send a series of packets or messages may be able to overlap data...
46,Weak Authentication Scheme,Information Disclosure,vCenter to Server,Custom authentication schemes are susceptible to common weaknesses...
47,Elevation Using Impersonation,Elevation Of Privilege,vCenter to Server,Server may be able to impersonate the context of Vcenter...
48,Vcenter Process Memory Tampered,Tampering,vCenter to BR Solution,If Vcenter is given access to memory... then Vcenter can tamper with BR Solution.
49,Replay Attacks,Tampering,vCenter to BR Solution,Packets or messages without sequence numbers or timestamps can be captured and replayed...
50,Collision Attacks,Tampering,vCenter to BR Solution,Attackers who can send a series of packets or messages may be able to overlap data...
51,Weak Authentication Scheme,Information Disclosure,vCenter to BR Solution,Custom authentication schemes are susceptible to common weaknesses...
52,Elevation Using Impersonation,Elevation Of Privilege,vCenter to BR Solution,BR Solution may be able to impersonate the context of Vcenter...
